# This data file is derived from:
# Peter M. Blau, Otis Dudley Duncan, David L. Featherman, and Robert M. Hauser. 
# OCCUPATIONAL CHANGES IN A GENERATION 1962 AND 1973 [Computer File].
# Madison, WI: University of Wisconsin [producer], 1983.
# Ann Arbor, MI: Inter-university Consortium for Political and Social Research
#  [distributor], 1994.

# the first value in each row is the case number, 1 to 20,700
# missing values are encoded as NA
# scaled.weight = 0.62*weight/mean(weight) where 0.62 is the design effect
#   for the survey

# for the definitions of the other variables, see the on-line supplemental
# Chapter 26 to Fox, Applied Regression Analysis and Generalized Linear Models,
# Third Edition.

education.father ses.father education ses.first ses age race weight scaled.weight
299 NA 33 3 29 NA 47 white 1.59302 0.454494913462561
300 0 41 3 25 51 61 white 1.62276 0.462979853216221
301 2 14 5 15 15 23 negro 1.97727 0.564122959876284
302 1 NA 1 2 4 62 negro 1.20389 0.343474583726784
303 1 27 4 NA 22 34 negro 1.38848 0.396138841599287
304 1 11 4 16 72 33 negro 1.42579 0.406783532325887
305 2 11 5 52 NA 33 negro 1.20327 0.343297695271933
306 4 22 6 15 31 23 white 1.51855 0.433248327603276
307 5 44 7 7 49 27 white 1.47542 0.420943167832752
308 5 44 5 10 62 24 white 2.02622 0.578088588690732
309 0 7 3 41 22 53 white 1.90085 0.542320031296097
310 NA 12 2 54 33 50 white 1.56643 0.446908681181127
311 3 11 5 28 17 48 white 1.67794 0.478722925697963
312 2 22 3 NA 22 35 white 1.48464 0.423573670338763
313 3 27 5 39 36 35 white 1.47359 0.420421061586983
314 0 24 4 18 45 37 white 1.47359 0.420421061586983
315 4 14 8 84 80 40 white 1.58244 0.451476397571716
316 5 10 6 17 27 40 white 1.63014 0.465085396436867
317 0 33 5 16 16 55 white 1.64374 0.468965530285213
318 8 52 5 39 40 53 white 1.64467 0.469230862967489
319 NA NA 2 15 54 43 white 1.58244 0.451476397571716
320 3 NA 3 16 58 40 white 1.59094 0.453901481226931
321 1 15 6 44 72 28 white 1.48218 0.422871822598547
322 3 47 4 72 50 59 white 1.80411 0.514719726260148
323 4 50 6 NA 64 20 white 2.02622 0.578088588690732
324 2 2 4 32 27 37 white 1.47359 0.420421061586983
325 5 33 7 84 84 35 white 1.58244 0.451476397571716
326 3 7 5 62 62 42 white 1.55602 0.443938666963386
327 3 40 8 44 72 53 white 1.67794 0.478722925697963
328 4 40 4 9 NA 62 white 1.62276 0.462979853216221
329 NA 22 4 16 15 32 negro 1.42579 0.406783532325887
330 0 19 4 9 27 21 white 1.61221 0.45996989644416
331 3 23 5 19 48 38 white 1.64411 0.469071092750204
332 3 33 4 28 22 44 white 1.5774 0.450038465616152
333 3 14 4 17 16 58 negro 1.85473 0.529161812686856
334 4 16 6 22 22 20 white 1.981 0.565187143644984
335 4 NA 3 17 17 28 negro 2.02656 0.57818559203694
336 0 33 3 NA 44 58 white 1.58233 0.451445014136178
337 NA 17 3 8 NA 44 white 1.64411 0.469071092750204
338 0 7 0 NA 17 56 white 1.56877 0.44757629244621
339 3 NA 5 44 37 44 white 1.64411 0.469071092750204
340 2 4 4 32 18 33 negro 1.79165 0.511164838925561
341 1 23 5 44 50 58 white 1.58878 0.453285224674547
342 8 92 8 96 92 29 white 1.7719 0.505530085726677
343 4 65 8 92 92 25 white 2.20163 0.628133756215602
344 3 16 2 15 8 40 white 1.64411 0.469071092750204
345 2 17 5 44 52 39 white 1.56451 0.446360897579008
346 2 23 4 16 40 49 white 1.66359 0.47462881388004
347 1 36 1 16 17 56 white 1.62968 0.464954156615526
348 5 32 4 28 23 20 white 1.61221 0.45996989644416
349 NA NA 3 5 4 29 negro 1.87181 0.534034804314042
350 1 NA 5 23 67 30 white 1.7096 0.487755649053743
351 3 47 4 7 15 52 white 1.6885 0.481735735509619
352 1 7 4 7 27 39 negro 1.77017 0.505036509876851
353 3 12 4 44 33 53 white 1.61526 0.460840073520443
354 4 33 5 44 51 22 white 1.981 0.565187143644984
355 3 27 4 17 25 37 white 1.64411 0.469071092750204
356 3 14 3 32 10 64 white 1.91589 0.546611002846032
357 1 8 6 39 40 49 white 1.6885 0.481735735509619
358 5 14 5 6 19 56 white 1.56877 0.44757629244621
359 8 10 5 22 40 43 white 1.65254 0.47147620512826
360 5 61 8 92 92 60 white 1.58878 0.453285224674547
361 8 76 7 61 NA 26 white 1.68487 0.480700082136862
362 3 14 3 17 8 57 white 1.63628 0.466837162747812
363 3 NA 6 52 52 21 white 1.75981 0.502080760857082
364 0 19 4 15 11 50 white 1.67033 0.476551762566646
365 3 15 4 19 24 33 white 1.58573 0.452415047598264
366 2 27 5 44 27 33 white 1.58573 0.452415047598264
367 NA 2 3 16 71 31 white 1.7096 0.487755649053743
368 3 54 4 16 54 29 white 1.68393 0.480431896414992
369 5 16 6 44 44 37 white 1.65254 0.47147620512826
370 NA NA 4 28 16 49 white 1.73119 0.493915361537991
371 NA 21 5 15 50 44 white 1.68284 0.480120915099205
372 3 17 5 19 18 34 white 1.62807 0.464494817240833
373 4 26 4 44 71 53 white 1.65248 0.471459086890693
374 0 20 3 22 17 52 white 1.83014 0.522146188324296
375 0 6 5 15 NA 47 white 1.73119 0.493915361537991
376 NA 18 2 17 19 51 white 1.85005 0.52782659015669
377 0 18 4 12 27 32 white 1.62807 0.464494817240833
378 5 66 5 44 47 28 white 2.10064 0.599320909352044
379 8 66 5 22 32 43 white 1.68284 0.480120915099205
380 NA 60 3 28 15 48 white 1.83014 0.522146188324296
381 3 15 6 NA NA 20 white 2.04287 0.58283889961536
382 3 33 4 44 71 52 white 1.72003 0.490731369350672
383 0 15 3 27 27 52 white 1.73119 0.493915361537991
384 2 15 3 17 27 55 white 1.68497 0.480728612532806
385 NA 19 2 19 24 59 white 1.75823 0.501629980601171
386 4 59 7 65 70 44 white 1.71969 0.490634366004464
387 0 22 8 51 72 54 white 1.72003 0.490731369350672
388 8 72 8 NA 44 23 white 1.94483 0.554867699432143
389 3 23 3 31 79 45 white 1.73119 0.493915361537991
390 3 22 5 9 77 54 white 1.72003 0.490731369350672
391 2 37 6 17 39 36 white 1.60628 0.458278043964697
392 2 8 6 44 68 42 white 1.75641 0.501110727394996
393 5 23 4 17 17 50 white 1.65248 0.471459086890693
394 NA 8 3 28 43 58 white 1.78067 0.508032201450941
395 1 61 3 39 22 54 white 1.73679 0.495513063710839
396 7 61 8 52 84 36 white 1.69877 0.484665807173039
397 1 NA 6 28 NA 61 white 1.78067 0.508032201450941
398 2 67 7 44 67 33 white 1.89744 0.541347144794416
399 5 2 5 21 10 50 white 1.65248 0.471459086890693
400 2 59 3 17 17 37 white 1.60628 0.458278043964697
401 0 61 5 17 37 44 white 1.71969 0.490634366004464
402 2 16 5 44 79 36 white 1.60628 0.458278043964697
403 2 6 5 44 37 32 white 1.57581 0.449584832320647
404 1 NA 7 79 44 57 negro 1.51521 0.432295412378756
405 0 50 4 28 NA 49 white 2.34273 0.668390144892183
406 0 11 1 17 27 36 white 1.85471 0.529156106607667
407 0 14 0 11 NA 64 white 1.7484 0.498825442679904
408 0 11 0 7 NA 37 white 1.85471 0.529156106607667
409 0 11 2 60 27 32 white 1.84167 0.525435742976607
